Categories,Average_Position,Clicks,Money_Spent,Channel,Location,Prospects,Paid,Total,Day,Month,Year
Scheduling,1.0,34.0,314.5,Capterra,UK,0.0,0,-314.5,11,Nov,2020
Scheduling,31.0,1.0,2.0,GetApp,UK,0.0,0,-2.0,11,Nov,2020
Scheduling,1.0,1.0,4.75,Capterra,Singapore,0.0,0,-4.75,11,Nov,2020
Scheduling,1.0,14.0,189.0,Capterra,Canada,0.0,0,-189.0,11,Nov,2020
Dance Studio,23.0,1.0,2.0,GetApp,Canada,0.0,0,-2.0,12,Nov,2020
Membership Management,3.0,1.0,2.25,GetApp,Singapore,0.0,0,-2.25,12,Nov,2020
Membership Management,34.0,1.0,2.0,GetApp,UK,0.0,0,-2.0,12,Nov,2020
Music School,16.0,1.0,2.0,Capterra,USA,0.0,0,-2.0,12,Nov,2020
Personal Trainer,15.0,1.0,2.0,GetApp,Australia,0.0,0,-2.0,12,Nov,2020
Personal Trainer,23.0,2.0,4.0,GetApp,USA,0.0,0,-4.0,12,Nov,2020
Personal Trainer,17.0,1.0,2.0,GetApp,UK,0.0,0,-2.0,12,Nov,2020
Personal Trainer,24.0,1.0,2.0,Capterra,Canada,0.0,0,-2.0,12,Nov,2020
Reservations,3.0,1.0,18.75,Capterra,Australia,0.0,0,-18.75,12,Nov,2020
Reservations,9.0,3.0,12.75,GetApp,USA,0.0,0,-12.75,12,Nov,2020
Reservations,10.0,1.0,10.25,Capterra,USA,0.0,0,-10.25,12,Nov,2020
Reservations,21.0,1.0,2.0,GetApp,UK,0.0,0,-2.0,12,Nov,2020
Reservations,1.0,2.0,6.0,Capterra,Singapore,0.0,0,-6.0,12,Nov,2020
Scheduling,1.0,1.0,7.75,Capterra,Australia,0.0,0,-7.75,12,Nov,2020
Scheduling,5.0,1.0,2.5,GetApp,Singapore,0.0,0,-2.5,12,Nov,2020
Scheduling,1.0,1.0,7.5,Capterra,UK,0.0,0,-7.5,12,Nov,2020
Scheduling,33.0,1.0,2.25,GetApp,USA,0.0,0,-2.25,12,Nov,2020
Class Registration,5.0,1.0,2.0,Capterra,UK,0.0,0,-2.0,13,Nov,2020
Club Management,9.0,1.0,2.0,Capterra,Singapore,0.0,0,-2.0,13,Nov,2020
Membership Management,38.0,1.0,2.0,Capterra,UK,0.0,0,-2.0,13,Nov,2020
Membership Management,74.0,1.0,7.75,Capterra,USA,0.0,0,-7.75,13,Nov,2020
Membership Management,21.0,1.0,5.5,GetApp,USA,0.0,0,-5.5,13,Nov,2020
Parks and Recreation,8.0,2.0,19.5,Capterra,USA,0.0,0,-19.5,13,Nov,2020
Personal Trainer,23.0,1.0,2.0,GetApp,USA,0.0,0,-2.0,13,Nov,2020
Pilates Studio,4.0,1.0,3.5,Capterra,USA,0.0,0,-3.5,13,Nov,2020
Reservations,1.0,2.0,5.0,GetApp,Singapore,0.0,0,-5.0,13,Nov,2020
Reservations,9.0,1.0,4.25,GetApp,USA,0.0,0,-4.25,13,Nov,2020
Reservations,10.0,3.0,30.75,Capterra,USA,0.0,0,-30.75,13,Nov,2020
Swim School,8.0,1.0,2.0,Capterra,USA,0.0,0,-2.0,13,Nov,2020
Membership Management,74.0,1.0,7.75,Capterra,USA,0.0,0,-7.75,14,Nov,2020
Personal Trainer,21.0,1.0,2.0,GetApp,Canada,0.0,0,-2.0,14,Nov,2020
Reservations,19.0,1.0,2.0,GetApp,Australia,0.0,0,-2.0,14,Nov,2020
Reservations,8.0,1.0,10.25,Capterra,USA,0.0,0,-10.25,14,Nov,2020
Reservations,9.0,1.0,4.25,GetApp,USA,0.0,0,-4.25,14,Nov,2020
Yoga Studio,8.0,2.0,10.0,GetApp,USA,0.0,0,-10.0,14,Nov,2020
Camp Management,14.0,1.0,2.0,Software Advice,USA,0.0,0,-2.0,15,Nov,2020
Class Registration,14.0,1.0,2.0,GetApp,USA,0.0,0,-2.0,15,Nov,2020
Coaching,11.0,1.0,2.0,GetApp,USA,0.0,0,-2.0,15,Nov,2020
Personal Trainer,16.0,1.0,2.0,GetApp,Australia,0.0,0,-2.0,15,Nov,2020
Personal Trainer,17.0,1.0,2.0,GetApp,UK,0.0,0,-2.0,15,Nov,2020
Personal Trainer,23.0,1.0,2.0,Capterra,Canada,0.0,0,-2.0,15,Nov,2020
Personal Trainer,21.0,1.0,2.0,GetApp,Canada,0.0,0,-2.0,15,Nov,2020
Reservations,1.0,1.0,2.5,GetApp,Singapore,0.0,0,-2.5,15,Nov,2020
Reservations,8.0,1.0,10.25,Capterra,USA,0.0,0,-10.25,15,Nov,2020
Scheduling,43.0,1.0,2.0,GetApp,UK,0.0,0,-2.0,15,Nov,2020
Class Registration,5.0,1.0,2.0,Capterra,UK,0.0,0,-2.0,16,Nov,2020
Class Registration,13.0,1.0,2.0,Software Advice,USA,0.0,0,-2.0,16,Nov,2020
Dance Studio,1.0,3.0,6.75,GetApp,Singapore,0.0,0,-6.75,16,Nov,2020
